2024-09-03 18:52:07 startup archives unpack
2024-09-03 18:52:07 install less:amd64 <none> 590-2.1~deb12u2
2024-09-03 18:52:07 status half-installed less:amd64 590-2.1~deb12u2
2024-09-03 18:52:07 status unpacked less:amd64 590-2.1~deb12u2
2024-09-03 18:52:07 install libcbor0.8:amd64 <none> 0.8.0-2+b1
2024-09-03 18:52:07 status triggers-pending libc-bin:amd64 2.36-9+deb12u8
2024-09-03 18:52:07 status half-installed libcbor0.8:amd64 0.8.0-2+b1
2024-09-03 18:52:07 status unpacked libcbor0.8:amd64 0.8.0-2+b1
2024-09-03 18:52:07 install libfido2-1:amd64 <none> 1.12.0-2+b1
2024-09-03 18:52:07 status half-installed libfido2-1:amd64 1.12.0-2+b1
2024-09-03 18:52:07 status unpacked libfido2-1:amd64 1.12.0-2+b1
2024-09-03 18:52:08 install openssh-client:amd64 <none> 1:9.2p1-2+deb12u3
2024-09-03 18:52:08 status half-installed openssh-client:amd64 1:9.2p1-2+deb12u3
2024-09-03 18:52:08 status unpacked openssh-client:amd64 1:9.2p1-2+deb12u3
2024-09-03 18:52:08 install libcurl3-gnutls:amd64 <none> 7.88.1-10+deb12u7
2024-09-03 18:52:08 status half-installed libcurl3-gnutls:amd64 7.88.1-10+deb12u7
2024-09-03 18:52:08 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u7
2024-09-03 18:52:08 install liberror-perl:all <none> 0.17029-2
2024-09-03 18:52:08 status half-installed liberror-perl:all 0.17029-2
2024-09-03 18:52:08 status unpacked liberror-perl:all 0.17029-2
2024-09-03 18:52:08 install git-man:all <none> 1:2.39.2-1.1
2024-09-03 18:52:08 status half-installed git-man:all 1:2.39.2-1.1
2024-09-03 18:52:08 status unpacked git-man:all 1:2.39.2-1.1
2024-09-03 18:52:08 install git:amd64 1:2.39.2-1.1 1:2.39.2-1.1
2024-09-03 18:52:08 status half-installed git:amd64 1:2.39.2-1.1
2024-09-03 18:52:08 status unpacked git:amd64 1:2.39.2-1.1
2024-09-03 18:52:08 install libxmuu1:amd64 <none> 2:1.1.3-3
2024-09-03 18:52:08 status half-installed libxmuu1:amd64 2:1.1.3-3
2024-09-03 18:52:08 status unpacked libxmuu1:amd64 2:1.1.3-3
2024-09-03 18:52:08 install xauth:amd64 <none> 1:1.1.2-1
2024-09-03 18:52:08 status half-installed xauth:amd64 1:1.1.2-1
2024-09-03 18:52:08 status unpacked xauth:amd64 1:1.1.2-1
2024-09-03 18:52:09 startup packages configure
2024-09-03 18:52:09 configure libcbor0.8:amd64 0.8.0-2+b1 <none>
2024-09-03 18:52:09 status unpacked libcbor0.8:amd64 0.8.0-2+b1
2024-09-03 18:52:09 status half-configured libcbor0.8:amd64 0.8.0-2+b1
2024-09-03 18:52:09 status installed libcbor0.8:amd64 0.8.0-2+b1
2024-09-03 18:52:09 configure less:amd64 590-2.1~deb12u2 <none>
2024-09-03 18:52:09 status unpacked less:amd64 590-2.1~deb12u2
2024-09-03 18:52:09 status half-configured less:amd64 590-2.1~deb12u2
2024-09-03 18:52:09 status installed less:amd64 590-2.1~deb12u2
2024-09-03 18:52:09 configure libcurl3-gnutls:amd64 7.88.1-10+deb12u7 <none>
2024-09-03 18:52:09 status unpacked libcurl3-gnutls:amd64 7.88.1-10+deb12u7
2024-09-03 18:52:09 status half-configured libcurl3-gnutls:amd64 7.88.1-10+deb12u7
2024-09-03 18:52:09 status installed libcurl3-gnutls:amd64 7.88.1-10+deb12u7
2024-09-03 18:52:09 configure liberror-perl:all 0.17029-2 <none>
2024-09-03 18:52:09 status unpacked liberror-perl:all 0.17029-2
2024-09-03 18:52:09 status half-configured liberror-perl:all 0.17029-2
2024-09-03 18:52:09 status installed liberror-perl:all 0.17029-2
2024-09-03 18:52:09 configure git-man:all 1:2.39.2-1.1 <none>
2024-09-03 18:52:09 status unpacked git-man:all 1:2.39.2-1.1
2024-09-03 18:52:09 status half-configured git-man:all 1:2.39.2-1.1
2024-09-03 18:52:09 status installed git-man:all 1:2.39.2-1.1
